Time[S],CH4 Volt[V]
0,88.000,
5e-008,112.000,
1e-007,136.000,
1.5e-007,152.000,
2e-007,184.000,
2.5e-007,200.000,
3e-007,224.000,
3.5e-007,248.000,
4e-007,264.000,
4.5e-007,288.000,
5e-007,312.000,
5.5e-007,336.000,
6e-007,360.000,
6.5e-007,376.000,
7e-007,392.000,
7.5e-007,416.000,
8e-007,432.000,
8.5e-007,456.000,
9e-007,472.000,
9.5e-007,488.000,
1e-006,512.000,
1.05e-006,528.000,
1.1e-006,536.000,
1.15e-006,552.000,
1.2e-006,576.000,
1.25e-006,592.000,
1.3e-006,600.000,
1.35e-006,616.000,
1.4e-006,632.000,
1.45e-006,640.000,
1.5e-006,648.000,
1.55e-006,664.000,
1.6e-006,672.000,
1.65e-006,688.000,
1.7e-006,696.000,
1.75e-006,704.000,
1.8e-006,712.000,
1.85e-006,720.000,
1.9e-006,720.000,
1.95e-006,728.000,
2e-006,736.000,
2.05e-006,744.000,
2.1e-006,744.000,
2.15e-006,752.000,
2.2e-006,752.000,
2.25e-006,752.000,
2.3e-006,752.000,
2.35e-006,752.000,
2.4e-006,752.000,
2.45e-006,752.000,
2.5e-006,744.000,
2.55e-006,744.000,
2.6e-006,744.000,
2.65e-006,736.000,
2.7e-006,736.000,
2.75e-006,728.000,
2.8e-006,720.000,
2.85e-006,712.000,
2.9e-006,704.000,
2.95e-006,696.000,
3e-006,688.000,
3.05e-006,680.000,
3.1e-006,672.000,
3.15e-006,656.000,
3.2e-006,640.000,
3.25e-006,632.000,
3.3e-006,616.000,
3.35e-006,600.000,
3.4e-006,592.000,
3.45e-006,576.000,
3.5e-006,560.000,
3.55e-006,544.000,
3.6e-006,528.000,
3.65e-006,512.000,
3.7e-006,496.000,
3.75e-006,472.000,
3.8e-006,456.000,
3.85e-006,440.000,
3.9e-006,416.000,
3.95e-006,400.000,
4e-006,376.000,
4.05e-006,360.000,
4.1e-006,336.000,
4.15e-006,312.000,
4.2e-006,296.000,
4.25e-006,264.000,
4.3e-006,256.000,
4.35e-006,224.000,
4.4e-006,208.000,
4.45e-006,184.000,
4.5e-006,160.000,
4.55e-006,136.000,
4.6e-006,112.000,
4.65e-006,96.000,
4.7e-006,72.000,
4.75e-006,40.000,
4.8e-006,16.000,
4.85e-006,0.000,
4.9e-006,-24.000,
4.95e-006,-56.000,
5e-006,-72.000,
5.05e-006,-96.000,
5.1e-006,-120.000,
5.15e-006,-144.000,
5.2e-006,-160.000,
5.25e-006,-192.000,
5.3e-006,-208.000,
5.35e-006,-232.000,
5.4e-006,-256.000,
5.45e-006,-272.000,
5.5e-006,-296.000,
5.55e-006,-320.000,
5.6e-006,-344.000,
5.65e-006,-360.000,
5.7e-006,-384.000,
5.75e-006,-408.000,
5.8e-006,-416.000,
5.85e-006,-440.000,
5.9e-006,-448.000,
5.95e-006,-472.000,
6e-006,-496.000,
6.05e-006,-512.000,
6.1e-006,-528.000,
6.15e-006,-544.000,
6.2e-006,-560.000,
6.25e-006,-576.000,
6.3e-006,-592.000,
6.35e-006,-608.000,
6.4e-006,-616.000,
6.45e-006,-632.000,
6.5e-006,-640.000,
6.55e-006,-656.000,
6.6e-006,-664.000,
6.65e-006,-672.000,
6.7e-006,-680.000,
6.75e-006,-688.000,
6.8e-006,-696.000,
6.85e-006,-704.000,
